亜,哀,握,扱,依,偉,威,尉,慰,為,維,緯,違,井,壱,逸,稲,芋,姻,陰,隠,韻,渦,浦,影,詠,鋭,疫,悦,謁,越,閲,宴,援,炎,煙,猿,縁,鉛,汚,
凹,奥,押,欧,殴,翁,沖,憶,乙,卸,穏,佳,嫁,寡,暇,架,禍,稼,箇,華,菓,蚊,雅,餓,介,塊,壊,怪,悔,懐,戒,拐,皆,劾,慨,概,涯,該,垣,嚇,
核,殻,獲,穫,較,郭,隔,岳,掛,潟,喝,括,渇,滑,褐,轄,且,刈,乾,冠,勘,勧,喚,堪,寛,患,憾,換,敢,棺,款,歓,汗,環,甘,監,緩,缶,肝,艦,
貫,還,鑑,閑,陥,含,頑,企,奇,岐,幾,忌,既,棋,棄,祈,軌,輝,飢,騎,鬼,偽,儀,宜,戯,擬,欺,犠,菊,吉,喫,詰,却,脚,虐,丘,及,朽,窮,糾,
巨,拒,拠,虚,距,享,凶,叫,峡,恐,恭,挟,況,狂,狭,矯,脅,響,驚,仰,凝,暁,斤,琴,緊,菌,襟,謹,吟,駆,愚,虞,偶,遇,隅,屈,掘,靴,繰,桑,
勲,薫,傾,刑,啓,契,恵,慶,憩,掲,携,渓,継,茎,蛍,鶏,迎,鯨,撃,傑,倹,兼,剣,圏,堅,嫌,懸,献,肩,謙,賢,軒,遣,顕,幻,弦,玄,孤,弧,枯,
誇,雇,顧,鼓,互,呉,娯,御,悟,碁,侯,坑,孔,巧,恒,慌,抗,拘,控,攻,更,江,洪,溝,甲,硬,稿,絞,綱,肯,荒,衡,貢,購,郊,酵,項,香,剛,拷,
豪,克,酷,獄,腰,込,墾,婚,恨,懇,昆,紺,魂,佐,唆,詐,鎖,債,催,宰,彩,栽,歳,砕,斎,載,剤,咲,崎,削,搾,索,錯,撮,擦,傘,惨,桟,暫,伺,
刺,嗣,施,旨,祉,紫,肢,脂,諮,賜,雌,侍,慈,滋,璽,軸,執,湿,漆,疾,芝,赦,斜,煮,遮,蛇,邪,勺,爵,酌,釈,寂,朱,殊,狩,珠,趣,儒,寿,需,
囚,愁,秀,臭,舟,襲,酬,醜,充,柔,汁,渋,獣,銃,叔,淑,粛,塾,俊,瞬,准,循,旬,殉,潤,盾,巡,遵,庶,緒,叙,徐,償,匠,升,召,奨,宵,尚,床,
彰,抄,掌,昇,晶,沼,渉,焦,症,硝,礁,祥,称,粧,紹,肖,衝,訟,詔,詳,鐘,丈,冗,剰,壌,嬢,浄,畳,譲,醸,錠,嘱,飾,殖,触,辱,伸,侵,唇,娠,
寝,審,慎,振,浸,紳,薪,診,辛,震,刃,尋,甚,尽,迅,陣,酢,吹,帥,炊,睡,粋,衰,遂,酔,錘,随,髄,崇,枢,据,杉,澄,瀬,畝,是,姓,征,牲,誓,
請,逝,斉,隻,惜,斥,析,籍,跡,拙,摂,窃,仙,占,扇,栓,潜,旋,繊,薦,践,遷,銑,鮮,漸,禅,繕,塑,措,疎,礎,租,粗,訴,阻,僧,双,喪,壮,捜,
掃,挿,曹,槽,燥,荘,葬,藻,遭,霜,騒,憎,贈,促,即,俗,賊,堕,妥,惰,駄,耐,怠,替,泰,滞,胎,袋,逮,滝,卓,択,拓,沢,濯,託,濁,諾,但,奪,
脱,棚,丹,嘆,淡,端,胆,鍛,壇,弾,恥,痴,稚,致,遅,畜,蓄,逐,秩,窒,嫡,抽,衷,鋳,駐,弔,彫,徴,懲,挑,眺,聴,脹,超,跳,勅,朕,沈,珍,鎮,
陳,津,墜,塚,漬,坪,釣,亭,偵,貞,呈,堤,帝,廷,抵,締,艇,訂,逓,邸,泥,摘,滴,哲,徹,撤,迭,添,殿,吐,塗,斗,渡,途,奴,怒,倒,凍,唐,塔,
悼,搭,桃,棟,盗,痘,筒,到,謄,踏,逃,透,陶,騰,闘,洞,胴,峠,匿,督,篤,凸,突,屯,豚,曇,鈍,縄,軟,尼,弐,如,尿,妊,忍,寧,猫,粘,悩,濃,
把,覇,婆,廃,排,杯,輩,培,媒,賠,陪,伯,拍,泊,舶,薄,迫,漠,爆,縛,肌,鉢,髪,伐,罰,抜,閥,伴,帆,搬,畔,繁,般,藩,販,範,煩,頒,盤,蛮,
卑,妃,彼,扉,披,泌,疲,碑,罷,被,避,尾,微,匹,姫,漂,描,苗,浜,賓,頻,敏,瓶,怖,扶,敷,普,浮,符,腐,膚,譜,賦,赴,附,侮,舞,封,伏,幅,
覆,払,沸,噴,墳,憤,紛,雰,丙,併,塀,幣,弊,柄,壁,癖,偏,遍,舗,捕,穂,募,慕,簿,倣,俸,奉,峰,崩,抱,泡,砲,縫,胞,芳,褒,邦,飽,乏,傍,
剖,坊,妨,帽,忙,房,某,冒,紡,肪,膨,謀,僕,墨,撲,朴,没,堀,奔,翻,凡,盆,摩,磨,魔,麻,埋,膜,又,抹,繭,慢,漫,魅,岬,妙,眠,矛,霧,婿,
娘,銘,滅,免,茂,妄,猛,盲,網,耗,黙,戻,紋,匁,厄,躍,柳,愉,癒,諭,唯,幽,悠,憂,猶,裕,誘,雄,融,与,誉,庸,揚,揺,擁,溶,窯,謡,踊,抑,
翼,羅,裸,頼,雷,絡,酪,欄,濫,吏,履,痢,離,硫,粒,隆,竜,慮,虜,了,僚,寮,涼,猟,療,糧,陵,倫,厘,隣,塁,涙,累,励,鈴,隷,零,霊,麗,齢,
暦,劣,烈,裂,廉,恋,錬,炉,露,廊,楼,浪,漏,郎,賄,惑,枠,湾,腕
